topic,filename_prefix
Basic Quantum Mechanics,unit_01
Approximation Methods of Quantum Mechanics,unit_02
Structure and Bonding,unit_03
Group Theory and Molecular Symmetry,unit_04
Atomic and Molecular Spectroscopy,unit_05
Equilibrium Chemical Thermodynamics I,unit_06
Phase Rule and Phase Stability,unit_07
Ionic Equilibrium and Electrochemistry,unit_08
Statistical Thermodynamics,unit_09
Chemical Kinetics,unit_10
Introduction to Reaction Dynamics,unit_11
Fast Reaction Kinetics,unit_12
Surfaces and Interfaces,unit_13
